BackSpace 
Tab 	
Linefeed 

Clear 
Return 
Escape 
Delete 
KP_Space  
KP_Tab 	
KP_Enter 
KP_Equal =
KP_Multiply *
KP_Add +
KP_Separator ,
KP_Subtract -
KP_Decimal .
KP_Divide /
KP_0 0
KP_1 1
KP_2 2
KP_3 3
KP_4 4
KP_5 5
KP_6 6
KP_7 7
KP_8 8
KP_9 9
space  
exclam !
quotedbl "
numbersign #
dollar $
percent %
ampersand &
apostrophe '
parenleft (
parenright )
asterisk *
plus +
comma ,
minus -
period .
slash /
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
colon :
semicolon ;
less <
equal =
greater >
question ?
at @
A A
B B
C C
D D
E E
F F
G G
H H
I I
J J
K K
L L
M M
N N
O O
P P
Q Q
R R
S S
T T
U U
V V
W W
X X
Y Y
Z Z
bracketleft [
backslash \
bracketright ]
asciicircum ^
underscore _
grave `
a a
b b
c c
d d
e e
f f
g g
h h
i i
j j
k k
l l
m m
n n
o o
p p
q q
r r
s s
t t
u u
v v
w w
x x
y y
z z
braceleft {
bar |
braceright }
asciitilde ~
nobreakspace  
exclamdown ¡
cent ¢
sterling £
currency ¤
yen ¥
brokenbar ¦
section §
diaeresis ¨
copyright ©
ordfeminine ª
guillemetleft «
notsign ¬
hyphen ­
registered ®
macron ¯
degree °
plusminus ±
twosuperior ²
threesuperior ³
acute ´
mu µ
paragraph ¶
periodcentered ·
cedilla ¸
onesuperior ¹
ordmasculine º
guillemetright »
onequarter ¼
onehalf ½
threequarters ¾
questiondown ¿
Agrave À
Aacute Á
Acircumflex Â
Atilde Ã
Adiaeresis Ä
Aring Å
AE Æ
Ccedilla Ç
Egrave È
Eacute É
Ecircumflex Ê
Ediaeresis Ë
Igrave Ì
Iacute Í
Icircumflex Î
Idiaeresis Ï
ETH Ð
Ntilde Ñ
Ograve Ò
Oacute Ó
Ocircumflex Ô
Otilde Õ
Odiaeresis Ö
multiply ×
Oslash Ø
Ugrave Ù
Uacute Ú
Ucircumflex Û
Udiaeresis Ü
Yacute Ý
THORN Þ
ssharp ß
agrave à
aacute á
acircumflex â
atilde ã
adiaeresis ä
aring å
ae æ
ccedilla ç
egrave è
eacute é
ecircumflex ê
ediaeresis ë
igrave ì
iacute í
icircumflex î
idiaeresis ï
eth ð
ntilde ñ
ograve ò
oacute ó
ocircumflex ô
otilde õ
odiaeresis ö
division ÷
oslash ø
ugrave ù
uacute ú
ucircumflex û
udiaeresis ü
yacute ý
thorn þ
ydiaeresis ÿ
Aogonek Ą
breve ˘
Lstroke Ł
Lcaron Ľ
Sacute Ś
Scaron Š
Scedilla Ş
Tcaron Ť
Zacute Ź
Zcaron Ž
Zabovedot Ż
aogonek ą
ogonek ˛
lstroke ł
lcaron ľ
sacute ś
caron ˇ
scaron š
scedilla ş
tcaron ť
zacute ź
doubleacute ˝
zcaron ž
zabovedot ż
Racute Ŕ
Abreve Ă
Lacute Ĺ
Cacute Ć
Ccaron Č
Eogonek Ę
Ecaron Ě
Dcaron Ď
Dstroke Đ
Nacute Ń
Ncaron Ň
Odoubleacute Ő
Rcaron Ř
Uring Ů
Udoubleacute Ű
Tcedilla Ţ
racute ŕ
abreve ă
lacute ĺ
cacute ć
ccaron č
eogonek ę
ecaron ě
dcaron ď
dstroke đ
nacute ń
ncaron ň
odoubleacute ő
rcaron ř
uring ů
udoubleacute ű
tcedilla ţ
abovedot ˙
Hstroke Ħ
Hcircumflex Ĥ
Iabovedot İ
Gbreve Ğ
Jcircumflex Ĵ
hstroke ħ
hcircumflex ĥ
idotless ı
gbreve ğ
jcircumflex ĵ
Cabovedot Ċ
Ccircumflex Ĉ
Gabovedot Ġ
Gcircumflex Ĝ
Ubreve Ŭ
